Landelijke_bag_id,Openbare_ruimte_id,Nummeraanduiding_id,Adresseerbaar_object_id,Pand_id,Kadastraal_object_id,Zakelijk_recht_id,Kadastraal_subject_id,Transactie_id,Adresseerbaar_object_type,Straatcode,Naam_officieel,Naam_nen,Naam_ptt,Huisnummer,Huisletter,Toevoeging,Postcode,Gebruiksdoel,Aantal_kamers,Woonoppervlak,Indicatie_nevenadres,Documentmutatiedatum,Documentmutatienummer,Bouwlaagtoegang,Aantal_bouwlagen,Type_woonobject_oms,Eigendomsverhouding,Financieringswijze,Feitelijk_gebruik,Ligging_gebouw,Status_nummeraanduiding,Nummeraanduiding_vervallen,Nummeraanduiding_ingangsdatum,Nummeraanduiding_einddatum,Status_adresseerbaar_object,Aot_x_coordinaat,Aot_y_coordinaat,Oorspronkelijk_bouwjaar,Kadgemkode,Sektielt,Konr,Kolt,Koindex,Perceeloppervlak,Ddtransakt,Zakelijkrecht,Aandeel,Ffkoopsom,Subjekt_oms,,
363010000548670,3630000002562,3630000011582,3630000548670,3630013088976,122272,1629072,20846,758838,vbo,388,Eerste Van der Helststraat,1e Van der Helststraat,1E VD HELSTSTR,1,,2,1073 AB,Best-woning,4,55,nee,09-09-10,GV00000406,2,1,Meergezinswoning,huur,Ongesubsidieerde bouw,woning,hoekgebouw,naamgeving uitgegeven,N,01-01-1005,,Verblijfsobject in gebruik,121314,485487,1875,ASD14,R,4920,G,0,83,22-01-97,Eigendom bel. met recht van erfpacht,1-jan.,100000,De Gemeente Amsterdam R,,
363010000548671,3630000002562,3630000011583,3630000548671,3630013088976,122272,1629072,20846,758838,vbo,388,Eerste Van der Helststraat,1e Van der Helststraat,1E VD HELSTSTR,1,,3,1073 AB,Best-woning,4,56,nee,09-09-10,GV00000406,3,1,Meergezinswoning,huur,Ongesubsidieerde bouw,woning,hoekgebouw,naamgeving uitgegeven,N,01-01-1005,,Verblijfsobject in gebruik,121314,485487,1875,ASD14,R,4920,G,0,83,22-01-97,Eigendom bel. met recht van erfpacht,1-jan.,100000,De Gemeente Amsterdam R,,
363010000560810,3630000002646,3630000023658,3630000560810,3630013096914,437583,143953,24759,1068290,vbo,1457,Admiralengracht,Admiralengracht,ADMIRALENGR,1,,1,1057 EX,Best-woning,3,47,nee,09-09-10,GV00000406,1,1,Meergezinswoning,huur,Premiehuur Profit voor 1985,woning,tussengebouw,naamgeving uitgegeven,N,01-01-24,,Verblijfsobject in gebruik,118987,486532,1924,STN02,C,5853,G,0,120,16-12-92,Eigendom bel. met recht van erfpacht,1-jan.,100000,De Gemeente Amsterdam Sloten,,
363010000560818,3630000002646,3630000023666,3630000560818,3630012965167,437582,143949,24759,1068288,vbo,1457,Admiralengracht,Admiralengracht,ADMIRALENGR,1,,1,1057 EZ,Best-woning,3,47,nee,09-09-10,GV00000406,1,1,Meergezinswoning,huur,Premiehuur Profit voor 1985,woning,tussengebouw,naamgeving uitgegeven,N,01-01-24,,Verblijfsobject in gebruik,118986,486537,1924,STN02,C,5852,G,0,120,16-12-92,Eigendom bel. met recht van erfpacht,1-jan.,100000,De Gemeente Amsterdam Sloten,,
363010000565990,3630000002698,3630000028776,3630000565990,3630013095011,418573,1953491,20863,241455,vbo,2135,Amerbos,Amerbos,AMERBOS,1,,,1025 XX,Best-woning,5,136,nee,04-02-13,GV00001616_AC00AC,0,3,Eengezinswoning,eigendom,Ongesubsidieerde bouw,woning,tussengebouw,naamgeving uitgegeven,N,01-01-70,,Verblijfsobject in gebruik,124852,490626,1970,ASD31,AL,533,G,0,81,26-07-05,Eigendom bel. met recht van erfpacht,1-jan.,100000,De Gemeente Amsterdam Al,,
363010000566481,3630000002699,3630000029267,3630000566481,3630013098880,488207,2677714,24752,1573734,vbo,2151,Amoebastraat,Amoebastraat,AMOEBASTR,1,,,1035 VL,Best-woning,4,93,nee,04-02-13,GV00001616_AC00AC,0,3,Eengezinswoning,huur,Sociale huursector woningwet,woning,tussengebouw,naamgeving uitgegeven,N,01-01-58,,Verblijfsobject in gebruik,122264,492479,1958,ASD35,AP,3506,G,0,154,15-11-13,Eigendom bel. met recht van erfpacht,1-jan.,100000,Gemeente Amsterdam Ap,,
363010000577528,3630000002477,3630000040245,3630000577528,3630013052147,420677,2473300,20864,1433756,vbo,3484,Barkpad,Barkpad,BARKPAD,1,,,1034 DG,Best-woning,4,90,nee,09-09-10,GV00000406,0,3,Eengezinswoning,eigendom,Subsidie Premiekoop A,woning,tussengebouw,naamgeving uitgegeven,N,01-12-87,,Verblijfsobject in gebruik,122563,490680,1987,ASD32,AM,332,G,0,137,24-02-12,Eigendom bel. met recht van erfpacht,1-jan.,100000,Gemeente Amsterdam Am,,
363010000603675,3630000003092,3630000066024,3630000603675,3630013116582,275426,544270,20860,567732,vbo,6815,Centaurusstraat,Centaurusstraat,CENTAURUSSTR,1,,,1033 AX,Best-woning,5,77,nee,04-02-13,GV00001616_AC00AC,0,1,Eengezinswoning,eigendom,Sociale huursector woningwet,woning,tussengebouw,naamgeving uitgegeven,N,01-01-23,,Verblijfsobject in gebruik,120812,491980,1923,ASD28,AH,3427,G,0,136,18-01-08,Eigendom bel. met recht van erfpacht,1-jan.,100000,De Gemeente Amsterdam Ah,,
363010000603675,3630000003092,3630000066024,3630000603675,3630013116582,276350,544272,20860,567733,vbo,6815,Centaurusstraat,Centaurusstraat,CENTAURUSSTR,1,,,1033 AX,Best-woning,5,77,nee,04-02-13,GV00001616_AC00AC,0,1,Eengezinswoning,eigendom,Sociale huursector woningwet,woning,tussengebouw,naamgeving uitgegeven,N,01-01-23,,Verblijfsobject in gebruik,120812,491980,1923,ASD28,AH,3445,G,0,6,18-01-08,Eigendom bel. met recht van erfpacht,1-jan.,100000,De Gemeente Amsterdam Ah,,
363010000602209,3630000003085,3630000064519,3630000602209,3630012986414,301025,520581,20860,462814,vbo,6734,Castorplein,Castorplein,CASTORPLN,1,,,1033 GG,Best-woning,4,55,nee,04-02-13,GV00001616_AC00AC,0,1,Eengezinswoning,eigendom,Sociale huursector woningwet,woning,tussengebouw,naamgeving uitgegeven,N,01-01-22,,Verblijfsobject in gebruik,121234,491664,1922,ASD28,AH,1841,G,0,6,27-07-07,Eigendom bel. met recht van erfpacht,1-jan.,100000,De Gemeente Amsterdam Ah,,
